name,suburb,category,lng,lat,value,vouchers
Nezuko,Braddon,retail,149.133257,-35.27173,3900,109
Oritea,Braddon,food & drinks,149.1355351,-35.2785248,2660,105
Phoebe Porter,Braddon,retail,149.1375415,-35.277866,250,5
POP Canberra,Braddon,food & drinks,149.1326108,-35.2719619,5620,175
Rye Cafe,Braddon,food & drinks,149.1322552,-35.2746173,490,33
Sancho's Dirty Laundry,Braddon,retail,149.1326108,-35.2719619,2330,51
SOULution Yoga,Braddon,personal care,149.1332839,-35.2719323,5890,125
TG-ONE Groceries,Braddon,food & drinks,149.1359974,-35.2787607,6410,187
The Italian Place Enoteca,Braddon,food & drinks,149.131755,-35.2729249,3180,90
Timber & Tailor Shop,Braddon,retail,149.1332646,-35.2718822,150,3
Trilogy Skateboards,Braddon,retail,149.1326769,-35.2717829,5620,122
White Chaco,Braddon,food & drinks,149.1326108,-35.2719619,1620,48
Why Aesthetics,Braddon,personal care,149.1330374,-35.2744699,100,2
Wokitup!,Braddon,food & drinks,149.1331212,-35.2727064,300,13
Yaki Boi,Braddon,food & drinks,149.1332839,-35.2719323,1430,55
Yat Bun Tong Dumpling House Braddon,Braddon,food & drinks,149.1328154,-35.27447421,1610,58
Arthritis ACT,Bruce,personal care,149.0920596,-35.2371501,320,9
Bruce Takeaway,Bruce,food & drinks,149.092121,-35.241275,300,20
Cafe Mizzuna,Bruce,food & drinks,149.0842616,-35.23843,80,4
Canberra Dragon Dance,Bruce,things to do,149.1018307,-35.2454861,540,16
Capital Chemist University of Canberra,Bruce,retail,149.0877074,-35.2347083,430,11
Oscar's Bakery Cafe,Bruce,food & drinks,149.0827705,-35.2390949,17980,408
Retro Cafe,Bruce,food & drinks,149.0877196,-35.2404971,1880,60
Serenity By G,Bruce,retail,149.0961041,-35.2443018,700,16
The Coffee Grounds UC,Bruce,food & drinks,149.0823941,-35.2390156,100,2
UC Esports Lounge,Bruce,things to do,149.0845431,-35.2381962,60,4
UC Supermarket,Bruce,food & drinks,149.082387,-35.237066,7600,243
Grand Court Chinese Restaurant,Calwell,food & drinks,149.113427,-35.434322,390,15
Merlin Mosaica,Calwell,retail,149.1170412,-35.4427701,5440,113
Coolbuy,Campbell,food & drinks,149.1438714,-35.2887474,10150,283
Je Fleur,Campbell,retail,149.1434919,-35.2891756,330,8
Chilada/VR Canberra,Canberra Airport,retail,149.1903758,-35.3001906,19630,489
Fat Goanna Cafe,Canberra Airport,food & drinks,149.1873772,-35.311488,360,21
Gossip Nail Salon,Canberra Airport,personal care,149.1903758,-35.3001906,840,23
Just Cuts Majura Park,Canberra Airport,personal care,149.1903758,-35.3001906,300,15
Latorta,Canberra Airport,retail,149.1903758,-35.3001906,5520,153
Lollipop's Playland & Cafe Canberra,Canberra Airport,things to do,149.1903758,-35.3001906,500,13
B & B Emporium,Casey,retail,149.0953865,-35.1743655,910,37
Fresh Seafood Canberra,Casey,retail,149.0953865,-35.1743655,3610,97
Lokma Turkish Cuisine,Casey,food & drinks,149.0953865,-35.1743655,1990,95
Greenaway Studio,Chapman,retail,149.0472136,-35.3595413,50,1
